SampleID,Latitude,Longitude,Dist.to.HZcenter,Region,TotalClineDist,ClineCenterLoc,ScaledClineLocation,NonnativeAncestry,NativeAncestry
S07-0169,38.12186,-121.83563,3.596996728,Sacramento Valley,631.78,421.85,0.673410043,0.677174,0.322826
S07-0172,38.434631,-121.836513,5.336298913,Sacramento Valley,631.78,421.85,0.676163061,0.425524,0.574476
S08-0003,38.57881349,-121.8405905,17.69082767,Sacramento Valley,631.78,421.85,0.695718174,0.00001,0.99999
S08-0032,38.9992,-121.34962,36.48569401,Sacramento Valley,631.78,421.85,0.725467242,0.769107,0.230893
S08-0511,38.68740802,-121.7516799,17.07948628,Sacramento Valley,631.78,421.85,0.694750524,0.443507,0.556493
S08-0535,38.54021604,-121.6945016,4.313623406,Sacramento Valley,631.78,421.85,0.67454434,0.00001,0.99999
S08-0763,39.97659392,-122.202301,163.9980692,Sacramento Valley,631.78,421.85,0.927297587,0.00001,0.99999
S08-0765,38.49339704,-122.0028287,18.67254166,Sacramento Valley,631.78,421.85,0.697272059,0.00001,0.99999
S09-0158,38.14254,-121.86772,5.330093266,Sacramento Valley,631.78,421.85,0.676153239,0.814496,0.185504
S09-0268,40.34382933,-122.3546076,206.789702,Sacramento Valley,631.78,421.85,0.995029444,0.00001,0.99999
S09-0272,38.41949,-121.96351,11.44382884,Sacramento Valley,631.78,421.85,0.68583024,0.00001,0.99999
S09-0779,40.33557269,-122.3645264,206.1765871,Sacramento Valley,631.78,421.85,0.994058987,0.201063,0.798937
S09-0805,38.54350555,-121.7684448,10.81965564,Sacramento Valley,631.78,421.85,0.68484228,0.00001,0.99999
S09-0809,39.76204227,-122.2348058,142.4909473,Sacramento Valley,631.78,421.85,0.89325548,0.105492,0.894508
S09-0816,38.5833872,-121.8653905,19.49008964,Sacramento Valley,631.78,421.85,0.698566098,0.148724,0.851276
S09-0912,38.85751,-121.48848,28.26532622,Sacramento Valley,631.78,421.85,0.712455801,0.612269,0.387731
S10-0170,39.582417,-122.04,118.0769641,Sacramento Valley,631.78,421.85,0.854612308,0.00001,0.99999
S10-0188,38.76058675,-122.0545363,45.71219554,Sacramento Valley,631.78,421.85,0.74007122,0.00001,0.99999
S10-0191,38.76017438,-122.0534302,45.63065423,Sacramento Valley,631.78,421.85,0.739942154,0.00001,0.99999
S10-0281,39.68554703,-122.2048616,133.6520728,Sacramento Valley,631.78,421.85,0.879265049,0.00001,0.99999
S10-0334,38.96268,-121.84364,47.58156499,Sacramento Valley,631.78,421.85,0.743030113,0.078068,0.921932
S10-0475,39.58240712,-122.0274639,117.6067949,Sacramento Valley,631.78,421.85,0.853868111,0.041443,0.958557
S10-0666,38.70211228,-121.9040369,27.98192719,Sacramento Valley,631.78,421.85,0.712007229,0.00001,0.99999
S11-0004,38.27395,-121.93055,8.195005765,Sacramento Valley,631.78,421.85,0.680687907,0.935686,0.064314
S11-0010a,38.53599765,-121.9403243,19.00769837,Sacramento Valley,631.78,421.85,0.697802555,0.147789,0.852211
S11-0011,38.14888,-121.76453,6.389715774,Sacramento Valley,631.78,421.85,0.677830441,0.726638,0.273362
S11-0228a,38.82111843,-121.7141868,28.87080976,Sacramento Valley,631.78,421.85,0.713414179,0.10612,0.89388
S11-0346,38.691954,-121.770379,18.46558351,Sacramento Valley,631.78,421.85,0.69694448,0.797869,0.202131
S11-0347,38.67927,-121.949176,34.00732987,Sacramento Valley,631.78,421.85,0.721544414,0.404934,0.595066
S11-0354,38.71585362,-121.9059706,29.00911731,Sacramento Valley,631.78,421.85,0.713633096,0.424359,0.575641
S12-0016,38.5464424,-121.768155,11.09364406,Sacramento Valley,631.78,421.85,0.685275957,0.00001,0.99999
S12-0188,39.16753491,-121.7351246,66.92035838,Sacramento Valley,631.78,421.85,0.773640125,0.006007,0.993993
S12-0285,38.13139,-121.86793,4.107457233,Sacramento Valley,631.78,421.85,0.674218015,0.701604,0.298396
S12-0286,38.13139,-121.86793,4.107457233,Sacramento Valley,631.78,421.85,0.674218015,0.675063,0.324937
S13-0062,38.52224979,-121.7673111,8.85488788,Sacramento Valley,631.78,421.85,0.681732388,0.587332,0.412668
S13-1971,38.539016,-121.694477,4.227225719,Sacramento Valley,631.78,421.85,0.674407588,0.00001,0.99999
S13-2081,38.5259,-121.76133,8.945241323,Sacramento Valley,631.78,421.85,0.681875402,0.084588,0.915412
S14-0323,39.60379,-121.7841,113.9704722,Sacramento Valley,631.78,421.85,0.848112432,0.00001,0.99999
S14-0892,39.524233,-122.192985,116.8036273,Sacramento Valley,631.78,421.85,0.852596833,0.029438,0.970562
S14-2908,39.14086,-121.84189,66.04826962,Sacramento Valley,631.78,421.85,0.772259758,0.384311,0.615689
S15-0002,39.3777,-122.02012,96.03496199,Sacramento Valley,631.78,421.85,0.819723578,0.00001,0.99999
S16-1303,40.1372,-122.19046,180.6236453,Sacramento Valley,631.78,421.85,0.953613038,0.073912,0.926088
S16-1633,39.58292,-122.09806,119.7318447,Sacramento Valley,631.78,421.85,0.857231702,0.00001,0.99999
S16-1953,38.55662,-121.83872,15.73440743,Sacramento Valley,631.78,421.85,0.692621494,0.157213,0.842787
S17-1551,40.078128,-122.167565,173.7806708,Sacramento Valley,631.78,421.85,0.942781777,0.32214,0.67786
S17-2547,39.079184,-121.895532,61.25052132,Sacramento Valley,631.78,421.85,0.76466574,0.134493,0.865507
S17-2548,39.631689,-121.909845,120.3303895,Sacramento Valley,631.78,421.85,0.858179096,0.045504,0.954496
S17-2549,39.429755,-122.192834,107.3657536,Sacramento Valley,631.78,421.85,0.837658289,0.00001,0.99999
S17-2550,39.4298,-122.19292,107.3735775,Sacramento Valley,631.78,421.85,0.837670673,0.00001,0.99999
S17-7259,39.42541,-122.19244,106.921166,Sacramento Valley,631.78,421.85,0.836954582,0.434225,0.565775
S18-1500,38.679974,-122.054213,37.78920145,Sacramento Valley,631.78,421.85,0.727530472,0.106257,0.893743
S18-2042,39.473108,-121.608725,97.15306887,Sacramento Valley,631.78,421.85,0.82149335,0.184839,0.815161
S18-2044,39.852769,-121.919324,144.5722171,Sacramento Valley,631.78,421.85,0.896549775,0.00001,0.99999
S18-2045,40.172387,-122.260942,186.0885263,Sacramento Valley,631.78,421.85,0.962263013,0.447082,0.552918
S18-2073,38.53529,-121.767672,10.1251987,Sacramento Valley,631.78,421.85,0.683743073,0.104989,0.895011
S18-2128,38.563682,-121.856982,19.77055467,Sacramento Valley,631.78,421.85,0.699010027,0.175233,0.824767
S18-2200,39.427772,-122.192541,107.1583558,Sacramento Valley,631.78,421.85,0.837330013,0.00001,0.99999
S18-2201,39.429604,-122.192668,107.3443152,Sacramento Valley,631.78,421.85,0.837624355,0.00001,0.99999
S19-1799,39.09742,-121.63392,56.29049785,Sacramento Valley,631.78,421.85,0.756814869,0.110022,0.889978
ESRP-R004,35.37494,-118.98681,389.1579068,San Joaquin Valley,631.78,421.85,0.051746008,0.99999,1.00E-05
ESRP-R005,35.46182,-119.03508,378.8684541,San Joaquin Valley,631.78,421.85,0.068032457,0.99999,1.00E-05
ESRP-R006,35.07826,-119.02404,413.348551,San Joaquin Valley,631.78,421.85,0.013456344,0.99999,1.00E-05
ESRP-R008,35.35964,-118.98674,390.5022276,San Joaquin Valley,631.78,421.85,0.049618178,0.99999,1.00E-05
ESRP-R009,35.30186,-119.0238,393.5594907,San Joaquin Valley,631.78,421.85,0.044779052,0.99999,1.00E-05
MAM-2703,38.52,-121.5,7.399962412,San Joaquin Valley,631.78,421.85,0.656003732,0.954949,0.045051
MAM-2704,38.5,-121.5,9.60644804,San Joaquin Valley,631.78,421.85,0.652511241,0.99999,1.00E-05
MAM-2705,38.52,-121.48,7.722779387,San Joaquin Valley,631.78,421.85,0.655492767,0.984663,0.015337
MAM-2706,38.5,-121.48,8.805751357,San Joaquin Valley,631.78,421.85,0.653778607,0.950696,0.049304
MAM-2793,35.4077,-119.01275,384.8425735,San Joaquin Valley,631.78,421.85,0.058576445,0.99999,1.00E-05
S09-0280,38.38688,-121.22387,23.25190085,San Joaquin Valley,631.78,421.85,0.630912816,0.99999,1.00E-05
S09-0440,38.38688,-121.22387,23.25190085,San Joaquin Valley,631.78,421.85,0.630912816,0.99999,1.00E-05
S10-0513,38.49805,-121.44683,7.379904181,San Joaquin Valley,631.78,421.85,0.65603548,0.99999,1.00E-05
S10-0568,38.26559,-121.31172,33.96507315,San Joaquin Valley,631.78,421.85,0.613955692,0.99999,1.00E-05
S13-0612,38.63974,-121.15592,3.44008139,San Joaquin Valley,631.78,421.85,0.662271548,0.999632,0.000368
S13-2580,36.604,-120.579,194.6644689,San Joaquin Valley,631.78,421.85,0.359595953,0.957777,0.042223
S14-0842,38.22253,-121.14744,42.668649,San Joaquin Valley,631.78,421.85,0.600179415,0.970015,0.029985
S14-0843,38.05672,-121.30314,35.31443866,San Joaquin Valley,631.78,421.85,0.611819876,0.99999,1.00E-05
S14-0844,35.33302,-118.99498,392.3852179,San Joaquin Valley,631.78,421.85,0.046637725,0.99999,1.00E-05
S14-0851,35.42626,-119.12759,376.8590841,San Joaquin Valley,631.78,421.85,0.071212947,0.908909,0.091091
S14-0863,35.31568,-119.09236,388.6141701,San Joaquin Valley,631.78,421.85,0.052606651,0.99999,1.00E-05
S16-1301,38.49104,-120.83206,35.77141805,San Joaquin Valley,631.78,421.85,0.611096556,0.914204,0.085796
S16-6030,38.5473,-121.51318,4.315757697,San Joaquin Valley,631.78,421.85,0.660885502,0.789874,0.210126
S18-3899,38.4907,-121.1617,17.16123391,San Joaquin Valley,631.78,421.85,0.640553304,0.99999,1.00E-05
